Name;Phone;Email;Done
Leanne Beasley;833842049;leannebeasley@lunchpod.com;False
Carolina Coffey;6552700779;carolinacoffey@lunchpod.com;False
Mathis Boone;9232682753;mathisboone@lunchpod.com;True
Judith Meadows;9073030676;judithmeadows@lunchpod.com;False
Melendez Hayden;2289449910;melendezhayden@lunchpod.com;False
Steele Pruitt;7276942223;steelepruitt@lunchpod.com;True
Reyes Miles;9511844443;reyesmiles@lunchpod.com;False
Phillips Michael;3028520798;phillipsmichael@lunchpod.com;True
Mavis Gomez;2538729501;mavisgomez@lunchpod.com;False
Simone Haynes;2304468485;simonehaynes@lunchpod.com;False
Herminia Velez;7369682547;herminiavelez@lunchpod.com;True
Boyd Barnes;3057627589;boydbarnes@lunchpod.com;False
Tamika Burch;5993215521;tamikaburch@lunchpod.com;True
Rosa Gardner;2239716463;rosagardner@lunchpod.com;False
Wong Smith;1923847850;wongsmith@lunchpod.com;False
Francisca Church;8690397036;franciscachurch@lunchpod.com;False
Levine Clayton;4442887250;levineclayton@lunchpod.com;True
Malone Drake;7425396096;malonedrake@lunchpod.com;True
White Buckner;5915369641;whitebuckner@lunchpod.com;False
Dalton Patterson;7366201036;daltonpatterson@lunchpod.com;True
Anderson Solomon;2576053180;andersonsolomon@lunchpod.com;True
Banks Nichols;8357508642;banksnichols@lunchpod.com;False
Webster Foster;7998426628;websterfoster@lunchpod.com;False
Barber Mathis;9663874896;barbermathis@lunchpod.com;False
Winnie Lancaster;9645312341;winnielancaster@lunchpod.com;True
Keller Hensley;3613349793;kellerhensley@lunchpod.com;True
Kelly Neal;7933746595;kellyneal@lunchpod.com;True
Beasley Marks;8757569223;beasleymarks@lunchpod.com;False
Wolfe Harris;221810211;wolfeharris@lunchpod.com;False
Rita Hunt;7218791682;ritahunt@lunchpod.com;True
Dolores Morse;5587602582;doloresmorse@lunchpod.com;False
Mcgowan Lester;812169384;mcgowanlester@lunchpod.com;True
Kathleen Petty;3959410246;kathleenpetty@lunchpod.com;True
Leah Hull;3599694590;leahhull@lunchpod.com;True
Cara Stein;9567079598;carastein@lunchpod.com;False
Angie Slater;6853679986;angieslater@lunchpod.com;True
Rhonda Deleon;1295438274;rhondadeleon@lunchpod.com;True
Bowen Workman;8908246431;bowenworkman@lunchpod.com;True
Mays Mann;9154977537;maysmann@lunchpod.com;False
Kim Harrell;3856081403;kimharrell@lunchpod.com;True
Valenzuela Wilcox;1286817068;valenzuelawilcox@lunchpod.com;False
Gamble Jacobs;958160867;gamblejacobs@lunchpod.com;False
Saunders Mccullough;8927574834;saundersmccullough@lunchpod.com;True
Lilly Mccoy;5316781104;lillymccoy@lunchpod.com;True
Margie Emerson;5355883861;margieemerson@lunchpod.com;True
Beverly Barber;826164536;beverlybarber@lunchpod.com;False
Knight Walter;5625574319;knightwalter@lunchpod.com;False
Loraine Bruce;1911112073;lorainebruce@lunchpod.com;False
Karyn Oliver;741066148;karynoliver@lunchpod.com;False
Erin White;8029692531;erinwhite@lunchpod.com;False
Howell Green;6568065268;howellgreen@lunchpod.com;False
Waller Nixon;5463257096;wallernixon@lunchpod.com;True
Jaime Burris;3969818860;jaimeburris@lunchpod.com;False
Cole Foley;8631295073;colefoley@lunchpod.com;True
Kent Mercer;3202443280;kentmercer@lunchpod.com;False
